FECHAS,EQUIPOS,GF,GE,RESULTADOS,ASISTENCIA,GOLES
5/04/2019,CBC,3,0,G,,
11/04/2019,Centenario B,2,3,P,X,
19/04/2019,Olivieri,3,3,E,X,
26/04/2019,La 73,4,2,G,X,
3/05/2019,Sur,7,1,G,X,4
9/05/2019,Athletic Bilbao,3,6,P,,
17/05/2019,Ediq,2,6,P,,
23/05/2019,Barreme la Veredita,2,1,G,X,
31/05/2019,La 73,5,1,G,X,2
3/06/2019,General Acha,2,2,E,X,1
14/06/2019,El Ciclón,3,1,G,X,2
21/06/2019,El Veinty,3,3,E,X,
26/06/2019,4 de Copas,2,3,P,X,
6/07/2019,Motor V,2,6,P,X,1
10/07/2019,Puesta a punto,4,4,E,X,1
18/07/2019,Nueva Roma,4,5,P,X,
26/07/2019,El Resto,5,6,P,,
31/07/2019,Fuerte Apache,3,4,P,,
9/08/2019,Barreme la Veredita,2,4,P,X,2
23/08/2019,El Veinty,4,6,P,X,1
26/09/2019,Barreme la Veredita,1,3,P,X,
3/10/2019,El Veinty,2,3,P,,
10/10/2019,Puesta a punto,0,6,P,X,
18/10/2019,Fuerte Apache,1,2,P,X,
22/10/2019,Centenario B,3,6,P,X,
25/10/2019,4 de Copas,0,5,P,X,
6/11/2019,El Ciclón,6,3,G,X,2
13/11/2019,El Resto,3,0,G,,
22/11/2019,Olivieri,1,6,P,X,
11/03/2020,Bumbi 4D,1,2,P,X,
19/03/2021,Sur,6,3,G,X,1
24/03/2021,Okupas,5,2,G,X,
2/04/2021,Centenario,3,4,P,X,
7/04/2021,Athletic Bilbao,2,0,G,X,
28/07/2021,Ediq,2,2,E,X,1
4/08/2021,Olivieri,1,1,E,X,
13/08/2021,Nueva Roma,6,4,G,X,
18/08/2021,Bumbi 4D,0,5,P,X,
25/08/2021,Motor V,3,1,G,X,2
1/09/2021,General Acha,3,0,G,,
12/09/2021,CBC,5,1,G,X,1
17/09/2021,Bumbi 4D,0,0,E,X,
8/10/2021,Centenario,2,6,P,X,
14/10/2021,25 de Mayo,3,3,E,X,
20/10/2021,Barreme la Veredita,3,6,P,,
27/10/2021,El Ciclón,0,4,P,,
3/11/2021,Centenario V,2,3,P,X,
11/11/2021,Olivieri,1,1,E,X,
19/11/2021,Sur,3,1,G,,
19/11/2021,Jacarandá,3,0,G,,
3/12/2021,Chaco Seniors,3,3,E,X,
9/12/2021,La Braschineta,2,5,P,X,2
15/12/2021,Motor V,5,7,P,X,1
16/02/2022,Miguel Cané,2,10,P,X,
20/02/2022,Comunicaciones,3,6,P,X,
24/02/2022,El Ciclón,1,5,P,x,
11/03/2022,4 de Copas,1,3,P,x,
17/03/2022,Manaos,3,5,P,,
25/03/2022,Motor V,5,7,P,X,
30/03/2022,Chaco,3,0,G,X,2
7/04/2022,La Braschineta,2,4,P,X,
14/04/2022,La Banda,9,3,G,X,2
